epoches:  10 | fidelity:0.640516 | time:2020-02-07 13:31:16 | duration:0.010000
epoches:  20 | fidelity:0.654447 | time:2020-02-07 13:32:04 | duration:0.030000
epoches:  30 | fidelity:0.673869 | time:2020-02-07 13:32:52 | duration:0.040000
epoches:  40 | fidelity:0.692621 | time:2020-02-07 13:33:39 | duration:0.050000
epoches:  50 | fidelity:0.711923 | time:2020-02-07 13:34:26 | duration:0.070000
epoches:   0 | fidelity:0.070748 | time:2020-02-07 13:37:38 | duration:0.000000
epoches:  10 | fidelity:0.316427 | time:2020-02-07 13:38:26 | duration:0.010000
epoches:  20 | fidelity:0.447929 | time:2020-02-07 13:39:14 | duration:0.030000
epoches:  30 | fidelity:0.459983 | time:2020-02-07 13:40:03 | duration:0.040000
epoches:  40 | fidelity:0.474126 | time:2020-02-07 13:40:52 | duration:0.060000
epoches:  50 | fidelity:0.489442 | time:2020-02-07 13:41:41 | duration:0.070000
epoches:  60 | fidelity:0.505358 | time:2020-02-07 13:42:31 | duration:0.080000
epoches:  70 | fidelity:0.523462 | time:2020-02-07 13:43:20 | duration:0.100000
epoches:  80 | fidelity:0.546206 | time:2020-02-07 13:44:07 | duration:0.110000
epoches:  90 | fidelity:0.571886 | time:2020-02-07 13:44:49 | duration:0.120000
epoches:   0 | fidelity:0.596492 | time:2020-02-07 13:45:31 | duration:0.000000
epoches:  10 | fidelity:0.620674 | time:2020-02-07 13:46:12 | duration:0.010000
epoches:  20 | fidelity:0.644531 | time:2020-02-07 13:46:54 | duration:0.020000
epoches:  30 | fidelity:0.667913 | time:2020-02-07 13:47:36 | duration:0.040000
epoches:  40 | fidelity:0.690678 | time:2020-02-07 13:48:18 | duration:0.050000
epoches:  50 | fidelity:0.712704 | time:2020-02-07 13:49:00 | duration:0.060000
epoches:  60 | fidelity:0.733891 | time:2020-02-07 13:49:41 | duration:0.070000
epoches:  70 | fidelity:0.754160 | time:2020-02-07 13:50:24 | duration:0.080000
epoches:  80 | fidelity:0.773453 | time:2020-02-07 13:51:09 | duration:0.100000
epoches:  90 | fidelity:0.791726 | time:2020-02-07 13:51:55 | duration:0.110000
epoches:   0 | fidelity:0.808955 | time:2020-02-07 13:52:42 | duration:0.000000
epoches:  10 | fidelity:0.825130 | time:2020-02-07 13:53:27 | duration:0.010000
