epoches:  60 | fidelity:0.979543 | time:2020-02-07 20:30:53 | duration:0.620000
epoches:  60 | fidelity:0.670569 | time:2020-02-07 20:31:49 | duration:0.620000
epoches:  60 | fidelity:0.791559 | time:2020-02-07 20:33:03 | duration:0.630000
epoches:  60 | fidelity:0.946735 | time:2020-02-07 20:35:54 | duration:0.660000
epoches:  70 | fidelity:0.981318 | time:2020-02-07 20:36:43 | duration:0.720000
epoches:  70 | fidelity:0.678727 | time:2020-02-07 20:37:39 | duration:0.710000
epoches:  70 | fidelity:0.784565 | time:2020-02-07 20:39:02 | duration:0.730000
epoches:  70 | fidelity:0.948985 | time:2020-02-07 20:42:16 | duration:0.770000
epoches:  80 | fidelity:0.982939 | time:2020-02-07 20:42:32 | duration:0.820000
epoches:  80 | fidelity:0.686908 | time:2020-02-07 20:43:29 | duration:0.810000
epoches:  80 | fidelity:0.778023 | time:2020-02-07 20:45:04 | duration:0.830000
epoches:  90 | fidelity:0.984418 | time:2020-02-07 20:48:28 | duration:0.920000
epoches:  80 | fidelity:0.951114 | time:2020-02-07 20:48:46 | duration:0.880000
epoches:  90 | fidelity:0.695098 | time:2020-02-07 20:49:34 | duration:0.910000
epoches:  90 | fidelity:0.773043 | time:2020-02-07 20:51:38 | duration:0.940000
epoches:   0 | fidelity:0.985766 | time:2020-02-07 20:55:19 | duration:0.010000
epoches:  90 | fidelity:0.953130 | time:2020-02-07 20:56:17 | duration:1.000000
epoches:   0 | fidelity:0.703266 | time:2020-02-07 20:56:26 | duration:0.010000
epoches:   0 | fidelity:0.771687 | time:2020-02-07 20:58:44 | duration:0.010000
epoches:  10 | fidelity:0.986996 | time:2020-02-07 21:02:12 | duration:0.130000
epoches:  10 | fidelity:0.711371 | time:2020-02-07 21:03:19 | duration:0.130000
epoches:   0 | fidelity:0.955040 | time:2020-02-07 21:03:50 | duration:0.010000
epoches:  10 | fidelity:0.776216 | time:2020-02-07 21:05:49 | duration:0.130000
epoches:  20 | fidelity:0.988116 | time:2020-02-07 21:09:04 | duration:0.240000
epoches:  20 | fidelity:0.719372 | time:2020-02-07 21:10:14 | duration:0.240000
epoches:  10 | fidelity:0.956848 | time:2020-02-07 21:11:26 | duration:0.140000
epoches:  20 | fidelity:0.785425 | time:2020-02-07 21:12:58 | duration:0.250000
epoches:  30 | fidelity:0.989138 | time:2020-02-07 21:15:51 | duration:0.350000
epoches:  30 | fidelity:0.727277 | time:2020-02-07 21:16:53 | duration:0.350000
epoches:  20 | fidelity:0.958562 | time:2020-02-07 21:18:25 | duration:0.260000
epoches:  30 | fidelity:0.796236 | time:2020-02-07 21:19:22 | duration:0.360000
epoches:  40 | fidelity:0.990068 | time:2020-02-07 21:21:43 | duration:0.450000
epoches:  40 | fidelity:0.735182 | time:2020-02-07 21:22:46 | duration:0.450000
epoches:  30 | fidelity:0.960186 | time:2020-02-07 21:24:50 | duration:0.360000
epoches:  40 | fidelity:0.807747 | time:2020-02-07 21:25:27 | duration:0.460000
epoches:  50 | fidelity:0.990916 | time:2020-02-07 21:27:35 | duration:0.550000
epoches:  50 | fidelity:0.743229 | time:2020-02-07 21:28:38 | duration:0.550000
epoches:  40 | fidelity:0.961725 | time:2020-02-07 21:31:15 | duration:0.470000
epoches:  50 | fidelity:0.819728 | time:2020-02-07 21:31:30 | duration:0.560000
epoches:  60 | fidelity:0.991688 | time:2020-02-07 21:33:31 | duration:0.650000
epoches:  60 | fidelity:0.751473 | time:2020-02-07 21:34:42 | duration:0.650000
epoches:  60 | fidelity:0.831857 | time:2020-02-07 21:38:07 | duration:0.670000
epoches:  50 | fidelity:0.963185 | time:2020-02-07 21:38:15 | duration:0.590000
epoches:  70 | fidelity:0.992392 | time:2020-02-07 21:39:59 | duration:0.760000
epoches:  70 | fidelity:0.759857 | time:2020-02-07 21:41:09 | duration:0.760000
epoches:  70 | fidelity:0.843824 | time:2020-02-07 21:44:40 | duration:0.780000
