epoches:  20 | fidelity:0.595664 | time:2020-01-30 15:25:19 | duration:0.000000
epoches:  30 | fidelity:0.776704 | time:2020-01-30 15:25:20 | duration:0.000000
epoches:  40 | fidelity:0.900603 | time:2020-01-30 15:25:22 | duration:0.000000
epoches:  50 | fidelity:0.960017 | time:2020-01-30 15:25:24 | duration:0.000000
epoches:  60 | fidelity:0.984200 | time:2020-01-30 15:25:26 | duration:0.000000
epoches:  70 | fidelity:0.993675 | time:2020-01-30 15:25:28 | duration:0.000000
epoches:  80 | fidelity:0.997402 | time:2020-01-30 15:25:30 | duration:0.000000
epoches:  90 | fidelity:0.998891 | time:2020-01-30 15:25:31 | duration:0.000000
epoches: 100 | fidelity:0.999499 | time:2020-01-30 15:25:33 | duration:0.010000
epoches: 110 | fidelity:0.999756 | time:2020-01-30 15:25:35 | duration:0.010000
epoches: 120 | fidelity:0.999869 | time:2020-01-30 15:25:37 | duration:0.010000
epoches: 130 | fidelity:0.999921 | time:2020-01-30 15:25:39 | duration:0.010000
epoches: 140 | fidelity:0.999948 | time:2020-01-30 15:25:41 | duration:0.010000
epoches:   0 | fidelity:0.133717 | time:2020-01-30 15:28:29 | duration:0.000000
epoches:  10 | fidelity:0.297083 | time:2020-01-30 15:28:30 | duration:0.000000
epoches:  20 | fidelity:0.492454 | time:2020-01-30 15:28:32 | duration:0.000000
epoches:  30 | fidelity:0.701508 | time:2020-01-30 15:28:34 | duration:0.000000
epoches:  40 | fidelity:0.855250 | time:2020-01-30 15:28:36 | duration:0.000000
epoches:  50 | fidelity:0.938114 | time:2020-01-30 15:28:38 | duration:0.000000
epoches:  60 | fidelity:0.975087 | time:2020-01-30 15:28:40 | duration:0.000000
epoches:  70 | fidelity:0.990189 | time:2020-01-30 15:28:42 | duration:0.000000
epoches:  80 | fidelity:0.996153 | time:2020-01-30 15:28:44 | duration:0.000000
epoches:  90 | fidelity:0.998486 | time:2020-01-30 15:28:45 | duration:0.000000
epoches:   0 | fidelity:0.141641 | time:2020-01-30 15:31:33 | duration:0.000000
epoches:  10 | fidelity:0.267870 | time:2020-01-30 15:31:35 | duration:0.000000
epoches:  20 | fidelity:0.464005 | time:2020-01-30 15:31:36 | duration:0.000000
epoches:  30 | fidelity:0.674076 | time:2020-01-30 15:31:38 | duration:0.000000
epoches:  40 | fidelity:0.833197 | time:2020-01-30 15:31:40 | duration:0.000000
epoches:  50 | fidelity:0.924193 | time:2020-01-30 15:31:42 | duration:0.000000
epoches:  60 | fidelity:0.967633 | time:2020-01-30 15:31:43 | duration:0.000000
epoches:  70 | fidelity:0.986484 | time:2020-01-30 15:31:45 | duration:0.000000
epoches:  80 | fidelity:0.994321 | time:2020-01-30 15:31:47 | duration:0.000000
epoches:  90 | fidelity:0.997531 | time:2020-01-30 15:31:49 | duration:0.000000
epoches:   0 | fidelity:0.032571 | time:2020-01-30 15:32:49 | duration:0.000000
epoches:  10 | fidelity:0.048028 | time:2020-01-30 15:32:51 | duration:0.000000
epoches:  20 | fidelity:0.082955 | time:2020-01-30 15:32:53 | duration:0.000000
epoches:  30 | fidelity:0.141742 | time:2020-01-30 15:32:55 | duration:0.000000
epoches:  40 | fidelity:0.222969 | time:2020-01-30 15:32:56 | duration:0.000000
epoches:  50 | fidelity:0.345610 | time:2020-01-30 15:32:58 | duration:0.000000
epoches:  60 | fidelity:0.521412 | time:2020-01-30 15:33:00 | duration:0.000000
epoches:  70 | fidelity:0.705977 | time:2020-01-30 15:33:02 | duration:0.000000
epoches:  80 | fidelity:0.846931 | time:2020-01-30 15:33:04 | duration:0.000000
epoches:  90 | fidelity:0.928689 | time:2020-01-30 15:33:05 | duration:0.000000
epoches:   0 | fidelity:0.968544 | time:2020-01-30 15:33:07 | duration:0.000000
epoches:  10 | fidelity:0.986417 | time:2020-01-30 15:33:09 | duration:0.000000
epoches:  20 | fidelity:0.994174 | time:2020-01-30 15:33:11 | duration:0.000000
epoches:  30 | fidelity:0.997504 | time:2020-01-30 15:33:12 | duration:0.000000
epoches:  40 | fidelity:0.998930 | time:2020-01-30 15:33:14 | duration:0.000000
epoches:  50 | fidelity:0.999541 | time:2020-01-30 15:33:16 | duration:0.000000
epoches:  60 | fidelity:0.999803 | time:2020-01-30 15:33:18 | duration:0.000000
epoches:  70 | fidelity:0.999915 | time:2020-01-30 15:33:20 | duration:0.000000
epoches:  80 | fidelity:0.999963 | time:2020-01-30 15:33:21 | duration:0.000000
epoches:  90 | fidelity:0.999984 | time:2020-01-30 15:33:23 | duration:0.000000
epoches:   0 | fidelity:0.020775 | time:2020-01-30 15:46:48 | duration:0.000000
epoches:  10 | fidelity:0.111075 | time:2020-01-30 15:46:49 | duration:0.000000
epoches:  20 | fidelity:0.360130 | time:2020-01-30 15:46:51 | duration:0.000000
epoches:  30 | fidelity:0.629858 | time:2020-01-30 15:46:53 | duration:0.000000
epoches:  40 | fidelity:0.806790 | time:2020-01-30 15:46:55 | duration:0.000000
epoches:  50 | fidelity:0.912198 | time:2020-01-30 15:46:57 | duration:0.000000
epoches:  60 | fidelity:0.963233 | time:2020-01-30 15:46:59 | duration:0.000000
epoches:  70 | fidelity:0.985186 | time:2020-01-30 15:47:01 | duration:0.000000
epoches:  80 | fidelity:0.994134 | time:2020-01-30 15:47:03 | duration:0.000000
epoches:  90 | fidelity:0.997698 | time:2020-01-30 15:47:05 | duration:0.000000
epoches: 100 | fidelity:0.999102 | time:2020-01-30 15:47:07 | duration:0.010000
epoches: 110 | fidelity:0.999652 | time:2020-01-30 15:47:09 | duration:0.010000
epoches:   0 | fidelity:0.063366 | time:2020-01-30 15:49:27 | duration:0.000000
epoches:  10 | fidelity:0.017978 | time:2020-01-30 15:49:29 | duration:0.000000
epoches:  20 | fidelity:0.018593 | time:2020-01-30 15:49:31 | duration:0.000000
epoches:  30 | fidelity:0.037259 | time:2020-01-30 15:49:33 | duration:0.000000
epoches:  40 | fidelity:0.118131 | time:2020-01-30 15:49:35 | duration:0.000000
epoches:  50 | fidelity:0.420747 | time:2020-01-30 15:49:36 | duration:0.000000
epoches:  60 | fidelity:0.513292 | time:2020-01-30 15:49:38 | duration:0.000000
epoches:  70 | fidelity:0.676294 | time:2020-01-30 15:49:40 | duration:0.000000
epoches:  80 | fidelity:0.862978 | time:2020-01-30 15:49:42 | duration:0.000000
epoches:  90 | fidelity:0.956757 | time:2020-01-30 15:49:43 | duration:0.000000
epoches: 100 | fidelity:0.985480 | time:2020-01-30 15:49:45 | duration:0.010000
epoches: 110 | fidelity:0.994835 | time:2020-01-30 15:49:47 | duration:0.010000
epoches:   0 | fidelity:0.204552 | time:2020-01-30 15:50:31 | duration:0.000000
epoches:  10 | fidelity:0.286914 | time:2020-01-30 15:50:33 | duration:0.000000
epoches:  20 | fidelity:0.384982 | time:2020-01-30 15:50:35 | duration:0.000000
epoches:  30 | fidelity:0.516413 | time:2020-01-30 15:50:37 | duration:0.000000
epoches:  40 | fidelity:0.685029 | time:2020-01-30 15:50:38 | duration:0.000000
epoches:  50 | fidelity:0.824696 | time:2020-01-30 15:50:40 | duration:0.000000
epoches:  60 | fidelity:0.912012 | time:2020-01-30 15:50:42 | duration:0.000000
epoches:   0 | fidelity:0.057464 | time:2020-01-30 15:50:52 | duration:0.000000
epoches:  10 | fidelity:0.000280 | time:2020-01-30 15:50:54 | duration:0.000000
epoches:  20 | fidelity:0.011219 | time:2020-01-30 15:50:56 | duration:0.000000
epoches:  30 | fidelity:0.012942 | time:2020-01-30 15:50:58 | duration:0.000000
epoches:  40 | fidelity:0.012921 | time:2020-01-30 15:51:00 | duration:0.000000
epoches:  50 | fidelity:0.019438 | time:2020-01-30 15:51:01 | duration:0.000000
epoches:  60 | fidelity:0.036675 | time:2020-01-30 15:51:03 | duration:0.000000
epoches:  70 | fidelity:0.072922 | time:2020-01-30 15:51:05 | duration:0.000000
epoches:  80 | fidelity:0.143033 | time:2020-01-30 15:51:07 | duration:0.000000
epoches:  90 | fidelity:0.266392 | time:2020-01-30 15:51:09 | duration:0.000000
epoches: 100 | fidelity:0.450525 | time:2020-01-30 15:51:11 | duration:0.010000
epoches: 110 | fidelity:0.660457 | time:2020-01-30 15:51:13 | duration:0.010000
epoches:   0 | fidelity:0.828907 | time:2020-01-30 15:51:15 | duration:0.000000
epoches:  10 | fidelity:0.925796 | time:2020-01-30 15:51:17 | duration:0.000000
epoches:  20 | fidelity:0.970303 | time:2020-01-30 15:51:19 | duration:0.000000
epoches:  30 | fidelity:0.988523 | time:2020-01-30 15:51:21 | duration:0.000000
epoches:  40 | fidelity:0.995612 | time:2020-01-30 15:51:23 | duration:0.000000
epoches:  50 | fidelity:0.998306 | time:2020-01-30 15:51:25 | duration:0.000000
